DATASET.SHORT_NAME,FILENAMES
ECCO_L4_FRESH_FLUX_05DEG_DAILY_V4R4,OCEAN_SURFACE_FRESHWATER_FLUXES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_FRESH_FLUX_05DEG_MONTHLY_V4R4,OCEAN_SURFACE_FRESHWATER_FLUXES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_FRESH_FLUX_LLC0090GRID_SNAPSHOT_V4R4,OCEAN_SURFACE_FRESHWATER_FLUXES_snap_1992-01-01T000000_ECCO_V4r4_native_llc0090.nc
ECCO_L4_FRESH_FLUX_LLC0090GRID_DAILY_V4R4,OCEAN_SURFACE_FRESHWATER_FLUXES_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_FRESH_FLUX_LLC0090GRID_MONTHLY_V4R4,OCEAN_SURFACE_FRESHWATER_FLUXES_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_HEAT_FLUX_05DEG_DAILY_V4R4,SURFACE_HEAT_FLUXES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_HEAT_FLUX_05DEG_MONTHLY_V4R4,SURFACE_HEAT_FLUXES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_HEAT_FLUX_LLC0090GRID_SNAPSHOT_V4R4,SURFACE_HEAT_FLUXES_snap_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_HEAT_FLUX_LLC0090GRID_DAILY_V4R4,SURFACE_HEAT_FLUXES_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_HEAT_FLUX_LLC0090GRID_MONTHLY_V4R4,SURFACE_HEAT_FLUXES_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_SURFACE_STRESS_05DEG_DAILY_V4R4,OCEAN_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SURFACE_STRESS_05DEG_MONTHLY_V4R4,OCEAN_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_SURFACE_STRESS_LLC0090GRID_SNAPSHOT_V4R4,OCEAN_SURFACE_STRESS_snap_1992-01-01T000000_ECCO_V4r4_native_llc0090.nc
ECCO_L4_SURFACE_STRESS_LLC0090GRID_DAILY_V4R4,OCEAN_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_SURFACE_STRESS_LLC0090GRID_MONTHLY_V4R4,OCEAN_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_ATM_PROPERTIES_05DEG_DAILY_V4R4,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_ATM_PROPERTIES_05DEG_MONTHLY_V4R4,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_ATM_PROPERTIES_LLC0090GRID_SNAPSHOT_V4R4,ATM_SURFACE_TEMP_HUM_WIND_PRES_snap_1992-01-01T000000_ECCO_V4r4_native_llc0090.nc
ECCO_L4_ATM_PROPERTIES_LLC0090GRID_DAILY_V4R4,ATM_SURFACE_TEMP_HUM_WIND_PRES_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_ATM_PROPERTIES_LLC0090GRID_MONTHLY_V4R4,ATM_SURFACE_TEMP_HUM_WIND_PRES_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_BOLUS_05DEG_DAILY_V4R4,GM_OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_BOLUS_05DEG_MONTHLY_V4R4,GM_OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_BOLUS_LLC0090GRID_SNAPSHOT_V4R4,GM_OCEAN_BOLUS_VELOCITY_snap_1992-01-01T000000_ECCO_V4r4_native_llc0090.nc
ECCO_L4_BOLUS_LLC0090GRID_DAILY_V4R4,GM_OCEAN_BOLUS_VELOCITY_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_BOLUS_LLC0090GRID_MONTHLY_V4R4,GM_OCEAN_BOLUS_VELOCITY_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_OBP_05DEG_DAILY_V4R4,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OBP_05DEG_MONTHLY_V4R4,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r4_latlon_0p50deg.nc
ECCO_L4_OBP_LLC0090GRID_SNAPSHOT_V4R4,OCEAN_BOTTOM_PRESSURE_snap_1992-01-01T000000_ECCO_V4r4_native_llc0090.nc
ECCO_L4_OBP_LLC0090GRID_DAILY_V4R4,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r4_native_llc0090.nc
ECCO_L4_OBP_LLC0090GRID_MONTHLY_V4R4,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r4_native_llc0090.nc
